Id,Make,Model,Year,Kilometers,Regional Specs,Transmission,Body Type,Engine Type,Cylinders,Fuel Type,Interior Color,Exterior Color,Seating Capacity,No of Doors,Primary Damage,Secondary Damage,Auction Date,Start Price,Final Price,Bid Difference,Bid Difference Percentage,Participation Count,Source,Age,Min_Predicted_Price,Max_Predicted_Price,Predicted Price,Min_Final_Price_Predicted_Ratio,Max_Final_Price_Predicted_Ratio,Final Price Predicted Ratio
6686f5c268b7851f89d9b233,Toyota,Corolla,2018,82563.0,American Specs,Automatic Transmission,Sedan,1.8L,4,Petrol,Black,Dark Blue,,,Front End,Minor Dent/Scratches,2024-07-14,23500,27500,4000,17.02,1,Marhaba Auctions,6,27683.716796875,34556.16015625,31119.9384765625,0.7958060118848654,0.993363723584409,0.8836778395532883
668816a2bfc26ae9eb55f4e3,Nissan,Versa,2012,148787.0,American Specs,Automatic Transmission,Hatchback,1.8L,4,Petrol,Black,Gray,,,Right Front,Right rear,2024-07-14,5500,6500,1000,18.18,3,Marhaba Auctions,12,14061.3349609375,14061.3349609375,14061.3349609375,0.4622605192221828,0.4622605192221828,0.4622605192221828
668818edbfc26ae9eb5615e2,Toyota,Camry,2018,117122.0,American Specs,Automatic Transmission,Sedan,2.5L,4,Petrol,Black,Brown,,,Side,Front End,2024-07-14,30500,34000,3500,11.48,3,Marhaba Auctions,6,40524.74609375,57495.97265625,49010.359375,0.591345766133484,0.8389935354892627,0.6937308853389733
66881959bfc26ae9eb561d42,Hyundai,Elantra,2013,162625.0,Canadian Specs,Automatic Transmission,Hatchback,1.8L,4,Petrol,Black,Blue,,,Front End,Minor Dent/Scratches,2024-07-14,8500,12000,3500,41.18,3,Marhaba Auctions,11,15229.1259765625,18843.78515625,17036.45556640625,0.6368147323108228,0.7879638016303694,0.7043718661563907
6688eda1bfc26ae9eb5bf841,Mercedes Benz,Glc-300,2019,82953.0,American Specs,Automatic Transmission,Suv,2.0L,4,Petrol,Black,White,,,Side,Minor Dent/Scratches,2024-07-14,78000,80000,2000,2.56,4,Marhaba Auctions,5,,,,,,
668a325d0a61e0b313c7d0c9,Kia,Rio,2017,105106.0,American Specs,Automatic Transmission,Sedan,1.6L,4,Petrol,Black,White,,,Front End,Minor Dent/Scratches,2024-07-14,9500,10000,500,5.26,3,Marhaba Auctions,7,14519.0703125,18869.853515625,16694.4619140625,0.5299458202852289,0.68874933344669,0.5990010370790416
668a4e760a61e0b313c8f004,Hyundai,Sonata,2012,71650.0,American Specs,Automatic Transmission,Sedan,2.4L,4,Petrol,Beige,Silver,,,Right Front,Minor Dent/Scratches,2024-07-14,8000,8500,500,6.25,1,Marhaba Auctions,12,12804.8232421875,18136.125,15470.47412109375,0.4686778460117583,0.6638123650153496,0.5494337105292968
668b8c4c42a32694784fa2f8,Hyundai,Elantra,2012,164011.0,American Specs,Automatic Transmission,Sedan,1.8L,4,Petrol,Beige,Black,,,All Over,Minor Dent/Scratches,2024-07-14,8500,9000,500,5.88,2,Marhaba Auctions,12,13162.9150390625,17450.138671875,15306.52685546875,0.5157552137110301,0.6837391241447233,0.5879844647307734
668b8c6d42a32694784fa43c,Hyundai,Elantra,2019,55554.0,American Specs,Automatic Transmission,Sedan,2.0L,4,Petrol,Black,Gray,,,Front End,Minor Dent/Scratches,2024-07-14,18500,22500,4000,21.62,2,Marhaba Auctions,5,25393.970703125,31787.990234375,28590.98046875,0.7078144869841088,0.8860370937275727,0.7869614693554334
668b8c8a42a32694784fa4db,Hyundai,Elantra,2017,123641.0,American Specs,Automatic Transmission,Sedan,2.0L,4,Petrol,Beige,Red,,,Front End,Side,2024-07-14,11500,13500,2000,17.39,2,Marhaba Auctions,7,17804.1953125,23296.576171875,20550.3857421875,0.5794842941898902,0.7582482534620307,0.6569219755464787
668b8db142a32694784fb4ec,Kia,Optima,2012,101871.0,American Specs,Automatic Transmission,Sedan,2.4L,4,Petrol,Beige,Maroon,,,Front End,Minor Dent/Scratches,2024-07-14,8500,10000,1500,17.65,2,Marhaba Auctions,12,18790.44921875,29077.65234375,23934.05078125,0.3439067185267251,0.5321852545186374,0.41781477324490457
668b8dd742a32694784fb5ed,Kia,Optima,2015,107748.0,American Specs,Automatic Transmission,Sedan,2.4L,4,Petrol,Beige,White,,,Minor Dent/Scratches,None,2024-07-14,10500,11500,1000,9.52,2,Marhaba Auctions,9,20225.5234375,31123.599609375,25674.5615234375,0.3694945361183733,0.5685884983662738,0.4479141733151708
668b8df442a32694784fb6ef,Kia,Optima,2018,60025.0,American Specs,Automatic Transmission,Sedan,2.4L,4,Petrol,Black,Gray,,,Front End,Minor Dent/Scratches,2024-07-14,15500,20500,5000,32.26,2,Marhaba Auctions,6,28022.951171875,40449.3046875,34236.1279296875,0.5068072284153525,0.7315432223489242,0.5987826673069427
668b8eaa42a32694784fc03c,Land Rover,Range Rover Evoque Se,2017,94145.0,American Specs,Automatic Transmission,Suv,2.0L,4,Petrol,Beige,White & Black,,,Rear End,Minor Dent/Scratches,2024-07-14,34500,41000,6500,18.84,2,Marhaba Auctions,7,,,,,,
668b9038553955417fa338c4,Hyundai,Sonata,2011,227053.0,American Specs,Automatic Transmission,Sedan,2.0L,4,Petrol,Black,Black,,,Rear End,Minor Dent/Scratches,2024-07-14,7500,8000,500,6.67,2,Marhaba Auctions,13,11963.8642578125,15989.3583984375,13976.611328125,0.5003327713751022,0.6686802714913733,0.572384808605336
668b917c6d4d8a767d2ffd68,Hyundai,Veloster,2012,102830.0,American Specs,Automatic Transmission,Hatchback,1.6L,4,Petrol,Black,Black,,,Front End,Minor Dent/Scratches,2024-07-14,8500,9000,500,5.88,2,Marhaba Auctions,12,19527.423828125,22372.251953125,20949.837890625,0.4022840444876566,0.460890288407499,0.4295975962671996
