name,is_reserved,location_list,category_id,is_verified_user,highlighted_ad,is_super_ad,has_vin,has_whatsapp_number,category,created_at,permalink,auto_agent_id,is_coming_soon,site,can_chat,uuid,neighbourhood,id,has_phone_number,category_v2,is_featured_agent,added,cotd_on,is_premium,objectID,Trim,Year,Kilometers,Regional Specs,Doors,Body Type,Fuel Type,Seating Capacity,Transmission Type,Engine Capacity (cc),Extras,Horsepower,No. of Cylinders,Warranty,Exterior Color,Target Market,Price,Steering Side,Make,Model,Agent,Seller Type,updated_at,Technical Features,Interior Color,Age,Age_Kilometers,Kilometers_per_Year,Predicted_Price,price/expected_price
دوج جشارجر موديل 2019,False,"['UAE', 'Dubai', 'Al Warqaa']",1277,False,0,False,False,False,"['Cars', 'Dodge', 'Charger']",1705661152,https://dubizzle.com/s/DOBESWc,3789.0,False,Dubai,False,e3cff8b4d9a840f1bead43aea60a275f,Al Warqaa,15800242,True,"['Motors', 'Cars', 'Dodge', 'Charger']",False,1705661149,0,False,item:4:2:1277:15800242,R/T,2019,65000,American Specs,4 door,Sedan,Petrol,4 Seater,Automatic Transmission,3500 - 3999 cc,"['Power Windows', 'Power Locks', 'Power Seats', 'Leather Seats', 'Heated Seats', 'Cooled Seats', 'Air Conditioning', 'Climate Control', 'Heat', 'CD Player', 'Premium Sound System', 'Navigation System', 'VHS Player', 'Bluetooth System', 'Power Mirrors', 'Premium Lights', 'Fog Lights', 'Premium Wheels/Rims', 'Brush Guard', 'Rear View Camera']",300 - 399 HP,6,No,Blue,UAE (can be exported),45000,Left Hand,Dodge,Charger,Bait Al Khebra Cars Trading L.L.C,Dealer,1705662550,"['Power Steering', 'Tiptronic Gears']",nan,5,325000,13000.0,72587.56,0.61994094
VOLVO S 60 POLESTAR,False,"['UAE', 'Dubai', 'Al Quoz', 'Al Quoz 2']",1617,True,0,False,False,False,"['Cars', 'Volvo', 'S-Class']",1703668119,https://dubizzle.com/s/DOBEL3A,nan,False,Dubai,True,a850737e06e84be6aa648da26596a1d6,Al Quoz 2,15773730,True,"['Motors', 'Cars', 'Volvo', 'S-Class']",False,1705655704,0,False,item:4:2:1617:15773730,Other,2016,211782,GCC Specs,4 door,Sedan,Petrol,nan,Automatic Transmission,nan,"['Leather Seats', 'Climate Control', 'Premium Sound System', 'Navigation System', 'Parking Sensors', 'Rear View Camera']",nan,6,No,White,nan,29000,Left Hand,Volvo,S-Class,nan,Owner,1705662626,['Front Wheel Drive'],Black,8,1694256,26472.75,52215.875,0.55538666
Well Maintained Family Car - Kia Sorento - GCC Spec,False,"['UAE', 'Dubai', 'Discovery Gardens']",1398,False,0,False,False,False,"['Cars', 'Kia', 'Sorento']",1704876738,https://dubizzle.com/s/DOBEP0j,nan,False,Dubai,True,ec44d10f45d241f2aa430fc0b0908455,Discovery Gardens,15788965,True,"['Motors', 'Cars', 'Kia', 'Sorento']",False,1705654522,0,False,item:4:2:1398:15788965,EX,2013,148853,GCC Specs,4 door,SUV,Petrol,5 Seater,Automatic Transmission,2500 - 2999 cc,"['Premium Sound System', 'DVD Player', 'Rear View Camera']",200 - 299 HP,4,No,Black,nan,18900,Left Hand,Kia,Sorento,nan,Owner,1705662629,['Front Wheel Drive'],Beige,11,1637383,13532.09090909091,27180.812,0.69534343
BMW 750Li,False,"['UAE', 'Dubai', 'Al Barsha']",1207,True,0,False,False,False,"['Cars', 'BMW', '7-Series']",1705067410,https://dubizzle.com/s/DOBEQMZ,nan,False,Dubai,True,3852ee5f52ba46a5ae818c456916441d,Al Barsha,15791921,True,"['Motors', 'Cars', 'BMW', '7-Series']",False,1705068630,0,False,item:4:2:1207:15791921,750i,2008,200000,GCC Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,Unknown,"['Leather Seats', 'Cooled Seats', 'Climate Control', 'Premium Sound System', 'Navigation System', 'Parking Sensors']",Unknown,8,Does not apply,Black,nan,12500,Left Hand,BMW,7-Series,nan,Owner,1705662762,['Front Wheel Drive'],Beige,16,3200000,12500.0,17907.518,0.6980309
Mercedes benz S500 Amg,False,"['UAE', 'Dubai', 'Al Mamzar']",2725,False,0,False,False,False,"['Cars', 'Mercedes-Benz', 'S-Class Coupe']",1704337558,https://dubizzle.com/s/DOBEN3K,nan,False,Dubai,True,9da4fc3a43714be2bcdf883343762b50,Al Mamzar,15781428,True,"['Motors', 'Cars', 'Mercedes-Benz', 'S-Class Coupe']",False,1705115207,0,False,item:4:2:2725:15781428,S 500 Coupe,2004,184000,Japanese Specs,4 door,Coupe,Petrol,5 Seater,Automatic Transmission,2500 - 2999 cc,"['Leather Seats', 'Cooled Seats', 'Climate Control', 'Premium Sound System', 'Parking Sensors']",400 - 499 HP,8,Does not apply,Black,nan,11000,Left Hand,Mercedes-Benz,S-Class Coupe,nan,Owner,1705662762,['Front Wheel Drive'],Black,20,3680000,9200.0,23674.227,0.46464032
Infiniti QX4 2001 model GCC Top option sunroof,False,"['UAE', 'Dubai', 'Al Wasl', 'City Walk', 'Central Park']",1361,False,0,False,False,True,"['Cars', 'Infiniti', 'QX4']",1705372855,https://dubizzle.com/s/DOBEROC,9074.0,False,Dubai,False,5289ee765b8b4b02a679df5aa4507cfe,Central Park,15795866,True,"['Motors', 'Cars', 'Infiniti', 'QX4']",False,1705372855,0,False,item:4:2:1361:15795866,Other,2001,310000,GCC Specs,5+ doors,SUV,Petrol,7 Seater,Automatic Transmission,4000+ cc,"['Power Windows', 'Sunroof', 'Leather Seats', 'Air Conditioning', 'AM/FM Radio', 'CD Player', 'Aux Audio In', 'DVD Player', 'Power Mirrors']",300 - 399 HP,8,Does not apply,White,UAE (can be exported),8500,Left Hand,Infiniti,QX4,nan,Owner,1705662782,"['4 Wheel Drive', 'Power Steering', 'Side Airbags']",Other Color,23,7130000,13478.260869565218,15428.284,0.55093616
Audi a6 good condition 4 cylinder RTA passed,False,"['UAE', 'Dubai', 'Al Qusais', 'Al Qusais Industrial Area', 'Al Qusais Industrial 5']",1188,False,1,False,False,False,"['Cars', 'Audi', 'A6']",1705059121,https://dubizzle.com/s/DOBEQIw,nan,False,Dubai,True,c3a6d1aea9934e48bac406ebf437a8e9,Al Qusais Industrial 5,15791706,True,"['Motors', 'Cars', 'Audi', 'A6']",False,1705060187,0,False,item:4:2:1188:15791706,Other,2008,190000,GCC Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,1500 - 1999 cc,nan,300 - 399 HP,4,No,Blue,nan,10900,Left Hand,Audi,A6,nan,Owner,1705663860,nan,Black,16,3040000,11875.0,17284.666,0.6306168
LEXUS LX570 PLATINUM GCC VERY CLEAN,False,"['UAE', 'Dubai', 'Dubai Silicon Oasis (DSO)']",3340,False,0,False,False,False,"['Cars', 'Lexus', 'LX570']",1702464367,https://dubizzle.com/s/DOBEH26,nan,False,Dubai,True,16cbd20a2f5b432ca30d27a39e4a2694,Dubai Silicon Oasis,15758324,True,"['Motors', 'Cars', 'Lexus', 'LX570']",False,1705661254,0,False,item:4:2:3340:15758324,Platinum,2013,196000,GCC Specs,4 door,SUV,Petrol,8 Seater,Automatic Transmission,4000+ cc,"['Keyless Entry', 'Leather Seats', 'Cooled Seats', 'Climate Control', 'Premium Sound System', 'Navigation System', 'DVD Player', 'Parking Sensors', 'Rear View Camera']",nan,8,No,Gold,nan,95000,Left Hand,Lexus,LX570,nan,Owner,1705725543,['Front Wheel Drive'],Beige,11,2156000,17818.18181818182,138768.19,0.6845949
WULING MINI EV FULLY ELECTRIC,False,"['UAE', 'Dubai', 'Ras Al Khor']",1622,False,0,False,False,True,"['Cars', 'Other Make', 'Other Car']",1672490644,https://dubizzle.com/s/DOBC5hv,nan,False,Dubai,True,a5b681e7cb8544c8bd0e2e66d486e5a1,Ras Al Khor,15374879,True,"['Motors', 'Cars', 'Other Make', 'Other Car']",False,1705517093,0,False,item:4:2:1622:15374879,Other,2021,0,Other,2 door,Sedan,Electric,nan,Automatic Transmission,nan,nan,nan,nan,No,Green,UAE (can be exported),30000,Left Hand,Other Make,Other Car,nan,Dealer,1705725754,nan,Other Color,3,0,0.0,106176.91,0.28254732
BMW 2007 V6 630i GCC Coupe,False,"['UAE', 'Dubai', 'Al Warqaa', 'Al Warqaa 1']",1206,True,0,False,False,False,"['Cars', 'BMW', '6-Series']",1703140568,https://dubizzle.com/s/DOBEJjD,nan,False,Dubai,True,220e98c016b248229234db35bbcca455,Al Warqaa 1,15767037,True,"['Motors', 'Cars', 'BMW', '6-Series']",False,1704571647,0,False,item:4:2:1206:15767037,630i,2007,165000,GCC Specs,2 door,Coupe,Petrol,4 Seater,Automatic Transmission,3500 - 3999 cc,"['Power Windows', 'Power Locks', 'Keyless Entry', 'Keyless Start', 'Power Sunroof', 'Sunroof', 'Moonroof', 'Power Seats', 'Leather Seats', 'Air Conditioning', 'Climate Control', 'AM/FM Radio', 'CD Player', 'Aux Audio In', 'Premium Sound System', 'Navigation System', 'DVD Player', 'Power Mirrors', 'Premium Lights', 'Fog Lights', 'Premium Wheels/Rims', 'Performance Tyres', 'Body Kit', 'Parking Sensors', 'Rear View Camera']",300 - 399 HP,6,Does not apply,Silver,nan,15000,Left Hand,BMW,6-Series,nan,Owner,1705725806,"['Anti-Lock Brakes/ABS', 'Cruise Control', 'Dual Exhaust', 'Front Airbags', 'Power Steering', 'Rear Wheel Drive', 'Side Airbags', 'Tiptronic Gears']",nan,17,2805000,9705.882352941177,24154.182,0.6210105
MERCEDES BENZ S500 LARGE FULL OPTION COOLING SEATS,False,"['UAE', 'Dubai', 'Al Awir']",1464,False,1,False,False,False,"['Cars', 'Mercedes-Benz', '500/560']",1703765649,https://dubizzle.com/s/DOBELrU,4447.0,False,Dubai,False,1aa6c61afecc46018a04bdfe9fb7e9dc,Al Awir,15775238,True,"['Motors', 'Cars', 'Mercedes-Benz', '500/560']",False,1705131555,0,False,item:4:2:1464:15775238,Other,2004,137000,Japanese Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,Unknown,"['Keyless Entry', 'Cooled Seats', 'Climate Control', 'Premium Sound System', 'Navigation System', 'DVD Player', 'Parking Sensors', 'Rear View Camera']",Unknown,8,Does not apply,Black,UAE (can be exported),32000,Left Hand,Mercedes-Benz,500/560,Haroon Sharif Motors FZE,Dealer,1705727411,['Front Wheel Drive'],Black,20,2740000,6850.0,50393.297,0.6350051
Kia picanto for sale,False,"['UAE', 'Dubai', 'Dubai Marina']",1395,False,1,False,False,False,"['Cars', 'Kia', 'Picanto']",1705127538,https://dubizzle.com/s/DOBEQUq,nan,False,Dubai,True,5c373f34de4546a4b5e7148b9957e4fc,Dubai Marina,15792444,True,"['Motors', 'Cars', 'Kia', 'Picanto']",False,1705128728,0,False,item:4:2:1395:15792444,Other,2020,89000,GCC Specs,4 door,Hatchback,Petrol,5 Seater,Automatic Transmission,1000 - 1499 cc,nan,100 - 199 HP,4,No,Orange,nan,22000,Left Hand,Kia,Picanto,nan,Owner,1705727438,nan,Black,4,356000,22250.0,34495.254,0.6377689
Proton Saga Beatiful Car,False,"['UAE', 'Dubai', 'Nad Al Hamar']",3051,False,1,False,False,False,"['Cars', 'Proton', 'Saga']",1705094011,https://dubizzle.com/s/DOBEQS6,nan,False,Dubai,True,10ce4bce6c504ecdaa1ab5ecf0ed6e16,Nad Al Hamar,15792300,True,"['Motors', 'Cars', 'Proton', 'Saga']",False,1705096144,0,False,item:4:2:3051:15792300,Other,2012,108000,Other,4 door,Sedan,Petrol,nan,Automatic Transmission,nan,['Rear View Camera'],100 - 199 HP,4,Does not apply,Red,nan,9000,Left Hand,Proton,Saga,nan,Owner,1705727529,nan,Black,12,1296000,9000.0,29045.188,0.30986202
Double cabin pick up for sale in immaculate condition.,False,"['UAE', 'Dubai', 'Al Karama']",1455,True,1,False,False,False,"['Cars', 'Mazda', 'Pickup']",1702996283,https://dubizzle.com/s/DOBEJRK,nan,False,Dubai,True,9805ecdea70c4827baf4954ef4a2afb8,Al Karama,15765308,True,"['Motors', 'Cars', 'Mazda', 'Pickup']",False,1704713284,0,False,item:4:2:1455:15765308,Other,2010,419999,GCC Specs,4 door,Pick Up Truck,Petrol,5 Seater,Manual Transmission,1000 - 1499 cc,nan,200 - 299 HP,4,No,White,nan,12000,Left Hand,Mazda,Pickup,nan,Owner,1705727834,nan,nan,14,5879986,29999.928571428572,32497.748,0.36925635
Mini Cooper S All Four for sale 2012,False,"['UAE', 'Dubai']",1480,False,0,False,False,False,"['Cars', 'MINI', 'Cooper']",1705753449,https://dubizzle.com/s/DOBESha,nan,False,Dubai,True,95ed2693f8f247b79f77e1b41d6c84c4,Dubai,15801542,True,"['Motors', 'Cars', 'MINI', 'Cooper']",False,1705755476,0,False,item:4:2:1480:15801542,Cooper S,2012,143485,GCC Specs,4 door,Hatchback,Petrol,4 Seater,Manual Transmission,nan,"['Leather Seats', 'Climate Control']",Unknown,4,No,White,nan,15000,Left Hand,MINI,Cooper,nan,Owner,1705815164,nan,Black,12,1721820,11957.083333333334,25159.895,0.59618694
Clean,False,"['UAE', 'Dubai']",1468,False,0,False,False,False,"['Cars', 'Mercedes-Benz', 'CLS-Class']",1704369500,https://dubizzle.com/s/DOBENeK,nan,False,Dubai,True,29128f0b3c86441d93b7094ffa116442,Dubai,15782110,True,"['Motors', 'Cars', 'Mercedes-Benz', 'CLS-Class']",False,1705752074,0,False,item:4:2:1468:15782110,CLS 350,2012,220000,Japanese Specs,5+ doors,Sedan,Petrol,5 Seater,Automatic Transmission,3000 - 3499 cc,"['Keyless Entry', 'Leather Seats', 'Cooled Seats', 'Climate Control', 'Premium Sound System', 'Navigation System', 'DVD Player', 'Parking Sensors', 'Rear View Camera']",200 - 299 HP,6,No,Black,nan,31000,Left Hand,Mercedes-Benz,CLS-Class,nan,Owner,1705815215,nan,Black,12,2640000,18333.333333333332,44460.016,0.69725573
"Audi A4 - 2012 model 161481 km driven - 19,000/-",False,"['UAE', 'Dubai']",1187,False,0,False,False,False,"['Cars', 'Audi', 'A4']",1704968821,https://dubizzle.com/s/DOBEPo2,nan,False,Dubai,True,19fbe744759f43b69b078c0468b18e24,Dubai,15790436,True,"['Motors', 'Cars', 'Audi', 'A4']",False,1705746700,0,False,item:4:2:1187:15790436,Standard,2012,16148,GCC Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,2000 - 2499 cc,"['Keyless Entry', 'Leather Seats', 'Climate Control', 'Premium Sound System', 'DVD Player', 'Parking Sensors']",100 - 199 HP,4,No,White,nan,21000,Left Hand,Audi,A4,nan,Owner,1705815276,nan,Brown,12,193776,1345.6666666666667,30544.133,0.68752974
Mr,False,"['UAE', 'Dubai']",2700,False,0,False,False,False,"['Cars', 'MG', '360']",1704361679,https://dubizzle.com/s/DOBENbK,nan,False,Dubai,True,25524599bedf422f8c856e139c1209ff,Dubai,15781924,True,"['Motors', 'Cars', 'MG', '360']",False,1705744293,0,False,item:4:2:2700:15781924,Comfort,2019,80000,GCC Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,nan,['Climate Control'],0 - 99 HP,4,No,White,nan,18000,Left Hand,MG,360,nan,Owner,1705815294,nan,Black,5,400000,16000.0,31682.707,0.5681333
FORD EXPLORER GCC SPECS IN EXCELLENT CONDITION,False,"['UAE', 'Dubai', 'Business Bay']",1308,False,0,False,False,False,"['Cars', 'Ford', 'Explorer']",1704976920,https://dubizzle.com/s/DOBEPr9,4638.0,False,Dubai,True,ec1059ccd70541caacd2f860ee4ebbf0,Business Bay,15790629,True,"['Motors', 'Cars', 'Ford', 'Explorer']",False,1705741348,0,False,item:4:2:1308:15790629,Base,2010,155000,GCC Specs,4 door,SUV,Petrol,7 Seater,Automatic Transmission,2500 - 2999 cc,nan,200 - 299 HP,6,No,White,UAE (can be exported),11000,Left Hand,Ford,Explorer,nan,Owner,1705815340,nan,Black,14,2170000,11071.42857142857,16086.408,0.6838071
2006 Toyota Avalon,False,"['UAE', 'Dubai', 'Ras Al Khor', 'Ras Al Khor Industrial', 'Ras Al Khor Industrial 3']",1585,False,0,False,False,True,"['Cars', 'Toyota', 'Avalon']",1703591894,https://dubizzle.com/s/DOBELN0,1210.0,False,Dubai,False,62d6c9d7e59b4cf9b161cdd2629512a0,Ras Al Khor Industrial 3,15772764,True,"['Motors', 'Cars', 'Toyota', 'Avalon']",False,1705738859,0,False,item:4:2:1585:15772764,Other,2006,123573,European Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,Unknown,nan,nan,4,Does not apply,Brown,UAE (can be exported),15000,Left Hand,Toyota,Avalon,GNN Motors L.L.C,Dealer,1705815438,nan,Beige,18,2224314,6865.166666666667,21548.03,0.69611937
FORD FIESTA 2017 LADY USED VERY CLEAN,False,"['UAE', 'Dubai', 'Al Nahda (Dubai)', 'Al Nahda 2']",1297,False,0,False,False,False,"['Cars', 'Ford', 'Fiesta']",1705135837,https://dubizzle.com/s/DOBEQYd,nan,False,Dubai,True,58287dd6ce0342b7bc72354a5204a9ce,Al Nahda 2,15792679,True,"['Motors', 'Cars', 'Ford', 'Fiesta']",False,1705136244,0,False,item:4:2:1297:15792679,Titanium,2017,86230,GCC Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,1500 - 1999 cc,"['Power Windows', 'Power Locks', 'Keyless Entry', 'Keyless Start', 'Air Conditioning', 'Climate Control', 'AM/FM Radio', 'CD Player', 'Aux Audio In', 'Bluetooth System', 'Power Mirrors', 'Parking Sensors']",Unknown,4,Does not apply,White,nan,18000,Left Hand,Ford,Fiesta,nan,Owner,1705815472,"['Cruise Control', 'Front Wheel Drive', 'N2O System', 'Power Steering']",nan,7,603610,12318.57142857143,32073.047,0.5612189
VW Tiguan 2015 GCC perfect condition,False,"['UAE', 'Dubai', 'Dubai Sports City', 'Victory Heights']",1614,False,0,False,False,False,"['Cars', 'Volkswagen', 'Tiguan']",1701438653,https://dubizzle.com/s/DOBEERb,nan,False,Dubai,True,5710406bfd91428ca8c47495838314a9,Victory Heights,15746115,True,"['Motors', 'Cars', 'Volkswagen', 'Tiguan']",False,1705845262,0,False,item:4:2:1614:15746115,Other,2015,14000,GCC Specs,4 door,Crossover,Petrol,5 Seater,Manual Transmission,nan,nan,nan,4,Does not apply,White,nan,37000,Left Hand,Volkswagen,Tiguan,nan,Owner,1705904607,nan,Black,9,126000,1555.5555555555557,59533.484,0.621499
Honda accord 3.5L V6 Female driven American Specs,False,"['UAE', 'Dubai', 'Daria Island']",1325,False,0,False,False,False,"['Cars', 'Honda', 'Accord']",1705063348,https://dubizzle.com/s/DOBEQK7,nan,False,Dubai,True,14cb8e8d4812447db0518e3d7065fa9d,Daria Island,15791805,True,"['Motors', 'Cars', 'Honda', 'Accord']",False,1705841032,0,False,item:4:2:1325:15791805,EX-L V6,2014,230000,American Specs,2 door,Coupe,Petrol,4 Seater,Automatic Transmission,3500 - 3999 cc,"['Keyless Entry', 'Leather Seats', 'Cooled Seats', 'Climate Control', 'Premium Sound System', 'Navigation System', 'DVD Player', 'Parking Sensors', 'Rear View Camera']",200 - 299 HP,6,No,Red,nan,18000,Left Hand,Honda,Accord,nan,Owner,1705904631,['Front Wheel Drive'],Black,10,2300000,23000.0,26204.18,0.6869133
LS 430 1/2 Ultra,False,"['UAE', 'Dubai', 'Jumeirah']",1419,False,0,False,False,False,"['Cars', 'Lexus', 'LS-Series']",1704456741,https://dubizzle.com/s/DOBENwj,nan,False,Dubai,True,01ab2cdbf1b7478ead76718d27274c18,Jumeirah,15783261,True,"['Motors', 'Cars', 'Lexus', 'LS-Series']",False,1705839280,0,False,item:4:2:1419:15783261,1/2 Ultra,2003,280000,Japanese Specs,4 door,Sedan,Petrol,4 Seater,Automatic Transmission,nan,"['Leather Seats', 'Cooled Seats', 'Climate Control', 'Premium Sound System', 'Parking Sensors']",nan,8,Does not apply,Silver,nan,14500,Left Hand,Lexus,LS-Series,nan,Owner,1705904636,nan,Beige,21,5880000,13333.333333333334,23055.602,0.6289144
2013 Jeep SRT8 6.4  American specs Mid options Low mileage,False,"['UAE', 'Dubai', 'Muhaisnah', 'Muhaisnah 2', 'Sonapur']",1389,True,0,False,False,False,"['Cars', 'Jeep', 'Grand Cherokee']",1705832966,https://dubizzle.com/s/DOBESwb,3281.0,False,Dubai,False,556de692bfee4c16ab702113ff45a676,Sonapur,15802473,True,"['Motors', 'Cars', 'Jeep', 'Grand Cherokee']",False,1705832953,0,False,item:4:2:1389:15802473,Srt8,2013,129000,American Specs,4 door,SUV,Petrol,5 Seater,Automatic Transmission,4000+ cc,"['Leather Seats', 'Climate Control', 'Premium Sound System', 'DVD Player', 'Parking Sensors', 'Rear View Camera']",400 - 499 HP,8,Does not apply,Silver,UAE (can be exported),38000,Left Hand,Jeep,Grand Cherokee,Al Sada Used Cars TR,Dealer,1705904686,nan,Black,11,1419000,11727.272727272728,55411.92,0.685773
Mercedes Benz SL 350. 2006 Model.  Hardtop convertible .Full option  modified to SL63 AMG .2011 mode,False,"['UAE', 'Dubai', 'Al Warqaa']",1471,False,0,False,False,False,"['Cars', 'Mercedes-Benz', 'SL-Class']",1701991386,https://dubizzle.com/s/DOBEFtz,nan,False,Dubai,True,8cd8d590fb984e1db9cdfd57398e24fb,Al Warqaa,15752339,True,"['Motors', 'Cars', 'Mercedes-Benz', 'SL-Class']",False,1705793046,0,False,item:4:2:1471:15752339,SL 350 Blueefficiency,2006,160000,GCC Specs,2 door,Hard Top Convertible,Petrol,4 Seater,Automatic Transmission,3500 - 3999 cc,"['Power Windows', 'Power Locks', 'Keyless Entry', 'Keyless Start', 'Power Sunroof', 'Sunroof', 'Power Seats', 'Leather Seats', 'Racing Seats', 'Cooled Seats', 'Air Conditioning', 'Climate Control', 'AM/FM Radio', 'Cassette Player', 'CD Player', 'Aux Audio In', 'Premium Sound System', 'Navigation System', 'DVD Player', 'VHS Player', 'Bluetooth System', 'Power Mirrors', 'Premium Lights', 'Fog Lights', 'Performance Tyres', 'Brush Guard', 'Spoiler', 'Body Kit', 'Parking Sensors']",300 - 399 HP,6,No,Red,nan,57000,Left Hand,Mercedes-Benz,SL-Class,nan,Owner,1705904726,"['All Wheel Drive', 'All Wheel Steering', 'Anti-Lock Brakes/ABS', 'Cruise Control', 'Dual Exhaust', 'Front Airbags', 'Power Steering', 'Tiptronic Gears']",Beige,18,2880000,8888.888888888889,116821.016,0.48792592
ALFA ROMEO MITO DIESEL 2010 JAPAN IMPORTED,False,"['UAE', 'Dubai', 'Ras Al Khor', 'Ras Al Khor Industrial', 'Ras Al Khor Industrial 3']",1990,False,0,False,False,False,"['Cars', 'Alfa Romeo', 'Mito']",1701797960,https://dubizzle.com/s/DOBEFLr,3233.0,False,Dubai,False,c1edf174a04747898d1a39ff1b200903,Ras Al Khor Industrial 3,15749603,True,"['Motors', 'Cars', 'Alfa Romeo', 'Mito']",False,1705390890,0,False,item:4:2:1990:15749603,Quadrifoglio,2010,79000,Japanese Specs,2 door,Coupe,Diesel,4 Seater,Manual Transmission,1500 - 1999 cc,"['Power Windows', 'Power Locks', 'Leather Seats', 'Air Conditioning', 'Climate Control', 'Heat', 'AM/FM Radio', 'CD Player', 'Aux Audio In', 'Navigation System', 'DVD Player', 'Bluetooth System', 'Alarm/Anti-Theft System', 'Power Mirrors', 'Fog Lights', 'Brush Guard']",100 - 199 HP,4,Yes,Brown,UAE (can be exported),17000,Left Hand,Alfa Romeo,Mito,Irfan Motors FZCO,Dealer,1705904753,"['Anti-Lock Brakes/ABS', 'Front Airbags', 'Front Wheel Drive', 'Power Steering', 'Side Airbags']",nan,14,1106000,5642.857142857143,68607.945,0.24778472
Cherry T11 for sale,False,"['UAE', 'Dubai', 'Deira', 'Al Rigga']",2995,True,1,False,False,False,"['Cars', 'Chery', 'T11']",1705654659,https://dubizzle.com/s/DOBESU1,nan,False,Dubai,True,8ce701d3e27b4c10b81a72cb7fc2bb13,Al Rigga,15800107,True,"['Motors', 'Cars', 'Chery', 'T11']",False,1705657082,0,False,item:4:2:2995:15800107,Other,2014,89968,Chinese Specs,4 door,SUV,Petrol,5 Seater,Automatic Transmission,nan,nan,Unknown,Unknown,No,White,nan,12000,Left Hand,Chery,T11,nan,Owner,1705905351,nan,nan,10,899680,8996.8,-2382.612,-5.036489
SUZUKI S-PRESSO GL 2023,False,"['UAE', 'Dubai', 'Al Awir']",1923,False,1,False,False,True,"['Cars', 'Suzuki', 'Other']",1678865633,https://dubizzle.com/s/DOBCrAl,5886.0,False,Dubai,False,03b0843ce29f41eb957a4c51e9ce02d1,Al Awir,15456771,True,"['Motors', 'Cars', 'Suzuki', 'Other']",False,1705314431,0,False,item:4:2:1923:15456771,Other,2023,0,Other,4 door,Other,Petrol,nan,Manual Transmission,nan,nan,Unknown,Unknown,No,Blue,UAE (can be exported),29000,Left Hand,Suzuki,Other,Target Motors FZE,Dealer,1705906277,nan,Black,1,0,0.0,43900.363,0.6605868
INFINITY 2016,False,"['UAE', 'Dubai', 'Nad Al Hamar']",2204,True,1,False,False,False,"['Cars', 'Infiniti', 'Q70']",1704519670,https://dubizzle.com/s/DOBEOHk,nan,False,Dubai,True,525733dfa4c44352a636daa108007c0d,Nad Al Hamar,15783944,True,"['Motors', 'Cars', 'Infiniti', 'Q70']",False,1705297525,0,False,item:4:2:2204:15783944,Excellence,2016,90885,GCC Specs,5+ doors,Sedan,Petrol,5 Seater,Automatic Transmission,2000 - 2499 cc,"['Keyless Entry', 'Leather Seats', 'Cooled Seats', 'Climate Control', 'Premium Sound System', 'Navigation System', 'DVD Player', 'Parking Sensors', 'Rear View Camera']",200 - 299 HP,6,Yes,Silver,nan,29000,Left Hand,Infiniti,Q70,nan,Owner,1705906387,['Front Wheel Drive'],Beige,8,727080,11360.625,49815.22,0.5821514
EXCELLENT DEAL for our Great Wall Wingle 6 4WD ( 2020 Model ) in White Color GCC Specs,False,"['UAE', 'Dubai', 'Al Mamzar']",2587,False,0,False,False,True,"['Cars', 'Great Wall', 'Wingle 6']",1680001743,https://dubizzle.com/s/DOBCuin,550.0,False,Dubai,False,d9c0c028a3f34b44bfee5ff22924abfd,Al Mamzar,15471033,True,"['Motors', 'Cars', 'Great Wall', 'Wingle 6']",False,1705908138,0,False,item:4:2:2587:15471033,Double Cabin Petrol 4x4,2020,98000,GCC Specs,4 door,Pick Up Truck,Petrol,5 Seater,Manual Transmission,nan,"['Power Windows', 'Power Locks', 'Keyless Entry', 'Power Seats', 'Leather Seats', 'Heated Seats', 'Air Conditioning', 'Heat', 'AM/FM Radio', 'CD Player', 'Aux Audio In', 'Satellite Radio', 'Bluetooth System', 'Alarm/Anti-Theft System', 'Power Mirrors', 'Fog Lights', 'Parking Sensors']",nan,4,No,White,UAE (can be exported),27500,Left Hand,Great Wall,Wingle 6,Honey Gidosha Used Cars Tr.,Dealer,1705908773,"['4 Wheel Drive', 'Anti-Lock Brakes/ABS', 'Cruise Control', 'Front Airbags', 'Power Steering', 'Side Airbags']",Brown,4,392000,24500.0,53546.91,0.5135684
