name,is_reserved,location_list,category_id,is_verified_user,highlighted_ad,is_super_ad,has_vin,has_whatsapp_number,category,created_at,permalink,auto_agent_id,is_coming_soon,site,can_chat,uuid,neighbourhood,id,has_phone_number,category_v2,is_featured_agent,added,cotd_on,is_premium,objectID,Trim,Year,Kilometers,Regional Specs,Doors,Body Type,Fuel Type,Seating Capacity,Transmission Type,Engine Capacity (cc),Extras,Horsepower,No. of Cylinders,Warranty,Exterior Color,Target Market,Price,Steering Side,Make,Model,Agent,Seller Type,updated_at,Technical Features,Interior Color,Age,Age_Kilometers,Kilometers_per_Year,Predicted_Price,price/expected_price
ALTIMA 2.5SV 2017 SILVER GCC,False,"['UAE', 'Dubai', 'Al Qusais', 'Al Qusais Industrial Area', 'Al Qusais Industrial 4']",1498,False,0,False,False,False,"['Cars', 'Nissan', 'Altima']",1708361266,https://dubizzle.com/s/DOBE1wW,nan,False,Dubai,True,d330008740d348c1ad658117b5ca0f54,Al Qusais Industrial 4,15837054,True,"['Motors', 'Cars', 'Nissan', 'Altima']",False,1710348549,0,False,item:4:2:1498:15837054,SV,2017,112000,GCC Specs,4 door,Sedan,Petrol,nan,Automatic Transmission,nan,nan,200 - 299 HP,4,No,Silver,nan,29000,Left Hand,Nissan,Altima,nan,Owner,1710396332,nan,Brown,7,784000,16000.0,41521.793,0.6984284
Toyota camry 2019 model GCC before rent a car,False,"['UAE', 'Dubai', 'Jumeirah', 'Jumeirah 2']",1586,False,0,False,False,True,"['Cars', 'Toyota', 'Camry']",1708935824,https://dubizzle.com/s/DOBE3yu,9074.0,False,Dubai,False,e7af2fd2f71c43f782c470dc975cd121,Jumeirah 2,15844900,True,"['Motors', 'Cars', 'Toyota', 'Camry']",False,1710409155,0,False,item:4:2:1586:15844900,Other,2019,101000,GCC Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,1500 - 1999 cc,"['Power Windows', 'Power Locks', 'Air Conditioning', 'AM/FM Radio', 'CD Player', 'Aux Audio In', 'DVD Player', 'Bluetooth System', 'Power Mirrors', 'Fog Lights']",200 - 299 HP,4,Does not apply,Silver,UAE (can be exported),37000,Left Hand,Toyota,Camry,nan,Owner,1710421988,"['Cruise Control', 'Front Airbags', 'Power Steering', 'Side Airbags']",Beige,5,505000,20200.0,64787.953,0.5710938
Mitsubishi pajero mini,False,"['UAE', 'Dubai', 'The Meadows', 'The Meadows 9']",1492,False,0,False,False,False,"['Cars', 'Mitsubishi', 'Pajero']",1708243181,https://dubizzle.com/s/DOBE11A,nan,False,Dubai,True,d2269129bb494c04ae6f04643eb87a1c,The Meadows 9,15835110,True,"['Motors', 'Cars', 'Mitsubishi', 'Pajero']",False,1710233271,0,False,item:4:2:1492:15835110,Other,2008,133000,Japanese Specs,3 door,SUV,Petrol,4 Seater,Automatic Transmission,500 - 999 cc,"['Power Windows', 'Air Conditioning', 'Power Mirrors', 'Fog Lights', 'Off-Road Tyres']",0 - 99 HP,4,Does not apply,Silver,nan,6750,Right Hand,Mitsubishi,Pajero,nan,Owner,1710422449,"['4 Wheel Drive', 'Anti-Lock Brakes/ABS', 'Front Airbags', 'Power Steering', 'Side Airbags']",Black,16,2128000,8312.5,17365.635,0.38869873
Toyota camry  2014 model,False,"['UAE', 'Dubai']",1586,False,0,False,False,False,"['Cars', 'Toyota', 'Camry']",1708009724,https://dubizzle.com/s/DOBE0hi,nan,False,Dubai,True,724c0ca17e1c4d9da47a60c7c016b274,Dubai,15832302,True,"['Motors', 'Cars', 'Toyota', 'Camry']",False,1709997168,0,False,item:4:2:1586:15832302,SE+,2014,190000,GCC Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,2500 - 2999 cc,['AM/FM Radio'],Unknown,4,Does not apply,White,nan,17000,Left Hand,Toyota,Camry,nan,Owner,1710422505,nan,nan,10,1900000,19000.0,28706.96,0.59219086
Volkswagen beetle 2007 gcc,False,"['UAE', 'Dubai', 'Al Rashidiya']",1605,False,0,False,False,False,"['Cars', 'Volkswagen', 'Beetle']",1709811211,https://dubizzle.com/s/DOBE7Ke,nan,False,Dubai,True,c39c611baf2e42769b4dc2f375dacced,Al Rashidiya,15857160,True,"['Motors', 'Cars', 'Volkswagen', 'Beetle']",False,1709811567,0,False,item:4:2:1605:15857160,GL,2007,141500,GCC Specs,2 door,Coupe,Petrol,4 Seater,Automatic Transmission,1500 - 1999 cc,"['Keyless Entry', 'Leather Seats', 'Navigation System', 'DVD Player', 'Parking Sensors', 'Rear View Camera']",200 - 299 HP,4,Does not apply,Black,nan,8500,Left Hand,Volkswagen,Beetle,nan,Owner,1710422561,['Front Wheel Drive'],nan,17,2405500,8323.529411764706,13548.634,0.6273695
Ls460 Japanese space وارد اليابان,False,"['UAE', 'Dubai', 'International City', 'International City Phase 2 (Warsan 4)']",1419,True,0,False,False,False,"['Cars', 'Lexus', 'LS-Series']",1707845655,https://dubizzle.com/s/DOBE0H0,nan,False,Dubai,True,e3db2c83d05b4266bd11d42ad2876cf7,International City Phase 2 (Warsan 4),15830052,True,"['Motors', 'Cars', 'Lexus', 'LS-Series']",False,1709228187,0,False,item:4:2:1419:15830052,Full Ultra,2011,116000,Japanese Specs,4 door,Sedan,Petrol,nan,Automatic Transmission,nan,"['Power Windows', 'Power Locks', 'Keyless Entry', 'Keyless Start', 'Power Sunroof', 'Sunroof', 'Power Seats', 'Leather Seats', 'Heated Seats', 'Cooled Seats', 'Air Conditioning', 'Climate Control', 'Heat', 'AM/FM Radio', 'Cassette Player', 'CD Player', 'Aux Audio In', 'Satellite Radio', 'Premium Sound System', 'Navigation System', 'DVD Player', 'VHS Player', 'Bluetooth System', 'Alarm/Anti-Theft System', 'Power Mirrors', 'Premium Lights', 'Fog Lights', 'Premium Wheels/Rims', 'Performance Tyres', 'Roof Rack', 'Brush Guard', 'Spoiler', 'Premium Paint', 'Parking Sensors', 'Rear View Camera']",400 - 499 HP,8,No,Silver,nan,38000,Left Hand,Lexus,LS-Series,nan,Owner,1710422647,"['Anti-Lock Brakes/ABS', 'Cruise Control', 'Dual Exhaust', 'Front Airbags', 'Power Steering', 'Rear Wheel Drive', 'Side Airbags', 'Tiptronic Gears']",Other Color,13,1508000,8923.076923076924,55347.965,0.68656546
Perfect Condition 2014 GMC Acadia SLT 7 Seater For Only 17999Dhs,False,"['UAE', 'Dubai', 'Umm Al Sheif']",1316,False,1,False,False,False,"['Cars', 'GMC', 'Acadia']",1708900519,https://dubizzle.com/s/DOBE3tm,nan,False,Dubai,True,988679ad448b4b5ebdd49ef9284380ed,Umm Al Sheif,15844582,True,"['Motors', 'Cars', 'GMC', 'Acadia']",False,1710282979,0,False,item:4:2:1316:15844582,SLT,2014,115360,GCC Specs,5+ doors,SUV,Petrol,7 Seater,Automatic Transmission,2500 - 2999 cc,nan,300 - 399 HP,6,Does not apply,Blue,nan,17999,Left Hand,GMC,Acadia,nan,Owner,1710434425,nan,Black,10,1153600,11536.0,30811.992,0.5841557
Nissan 2400 Clean  strong Double Cab Pick up 2012,False,"['UAE', 'Dubai', 'International City']",2520,False,1,False,False,False,"['Cars', 'Nissan', 'Pickup']",1704965371,https://dubizzle.com/s/DOBEPnH,nan,False,Dubai,True,4bc3f9625b2a463e961725437cc917b0,International City,15790353,True,"['Motors', 'Cars', 'Nissan', 'Pickup']",False,1709938894,0,False,item:4:2:2520:15790353,Double Cab,2012,777000,GCC Specs,4 door,Pick Up Truck,Petrol,5 Seater,Manual Transmission,1500 - 1999 cc,['Leather Seats'],100 - 199 HP,Unknown,No,White,nan,15999,Left Hand,Nissan,Pickup,nan,Owner,1710450723,nan,Brown,12,9324000,64750.0,49599.832,0.32256156
Beautiful 2013 Audi A4 1.8L Full Options Gulf Specs Good Condition,False,"['UAE', 'Dubai', 'Umm Al Sheif']",1187,False,1,False,False,False,"['Cars', 'Audi', 'A4']",1708790947,https://dubizzle.com/s/DOBE38f,nan,False,Dubai,True,18af7b07c96e4aa5b8f5fdd0fa62e14d,Umm Al Sheif,15843273,True,"['Motors', 'Cars', 'Audi', 'A4']",False,1710333717,0,False,item:4:2:1187:15843273,S-line,2013,105640,GCC Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,1500 - 1999 cc,"['Power Windows', 'Power Locks', 'Keyless Entry', 'Power Sunroof', 'Power Seats', 'Leather Seats', 'Air Conditioning', 'Climate Control', 'Aux Audio In', 'Alarm/Anti-Theft System', 'Power Mirrors', 'Parking Sensors']",100 - 199 HP,4,Does not apply,Silver,nan,19500,Left Hand,Audi,A4,nan,Owner,1710457028,"['Anti-Lock Brakes/ABS', 'Power Steering', 'Side Airbags', 'Tiptronic Gears']",Beige,11,1162040,9603.636363636364,36020.99,0.5413511
2013 Chevrolet Cruze RTa passed full option with sunroof,False,"['UAE', 'Dubai', 'Al Qusais', 'Al Qusais Industrial Area', 'Al Qusais Industrial 5']",1789,False,1,False,False,False,"['Cars', 'Chevrolet', 'Cruze']",1710060018,https://dubizzle.com/s/DOBE7nO,nan,False,Dubai,True,56e274beaba74934b77cac13bb23a002,Al Qusais Industrial 5,15859552,True,"['Motors', 'Cars', 'Chevrolet', 'Cruze']",False,1710060223,0,False,item:4:2:1789:15859552,Other,2013,150000,Other,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,1000 - 1499 cc,nan,100 - 199 HP,4,No,White,nan,9900,Left Hand,Chevrolet,Cruze,nan,Owner,1710461144,nan,Black,11,1650000,13636.363636363636,16830.889,0.58820426
Audi Q5 2010,False,"['UAE', 'Dubai']",1755,False,0,False,False,False,"['Cars', 'Audi', 'Q5']",1708439918,https://dubizzle.com/s/DOBE2Oc,nan,False,Dubai,True,0a6b2293a6204f44959cca00e0b2dbd1,Dubai,15838186,True,"['Motors', 'Cars', 'Audi', 'Q5']",False,1710427223,0,False,item:4:2:1755:15838186,S-line,2010,117000,GCC Specs,4 door,SUV,Petrol,5 Seater,Automatic Transmission,Unknown,"['Power Windows', 'Power Locks', 'Keyless Entry', 'Keyless Start', 'Moonroof', 'Power Seats', 'Leather Seats', 'Air Conditioning', 'Climate Control', 'Heat', 'AM/FM Radio', 'Premium Sound System', 'DVD Player', 'Bluetooth System', 'Alarm/Anti-Theft System', 'Power Mirrors', 'Premium Lights', 'Premium Wheels/Rims', 'Performance Tyres', 'Off-Road Tyres', 'Off-Road Kit', 'Body Kit', 'Parking Sensors', 'Rear View Camera']",Unknown,4,Does not apply,Gold,nan,18500,Left Hand,Audi,Q5,nan,Owner,1710466650,"['4 Wheel Drive', 'All Wheel Drive', 'Anti-Lock Brakes/ABS', 'Cruise Control', 'Dual Exhaust', 'Front Airbags', 'Front Wheel Drive', 'Power Steering', 'Rear Wheel Drive']",Beige,14,1638000,8357.142857142857,29534.76,0.62638056
"JMC 2015 model , 3 ton",False,"['UAE', 'Dubai', 'Al Qusais', 'Al Qusais Residential Area', 'Al Qusais 3']",2029,True,0,False,False,False,"['Cars', 'JMC', 'NKR']",1707986516,https://dubizzle.com/s/DOBE088,nan,False,Dubai,True,d0dbed5f496e460e961873e0d655d398,Al Qusais 3,15831734,True,"['Motors', 'Cars', 'JMC', 'NKR']",False,1709369185,0,False,item:4:2:2029:15831734,Other,2015,153000,GCC Specs,4 door,Utility Truck,Diesel,5 Seater,Manual Transmission,2500 - 2999 cc,nan,200 - 299 HP,4,Does not apply,White,nan,16000,Left Hand,JMC,NKR,nan,Owner,1710467325,nan,nan,9,1377000,17000.0,39445.035,0.40562773
Camry 1999 for Camry lovers,False,"['UAE', 'Dubai', 'Al Warqaa', 'Al Warqaa 1']",1586,True,1,False,False,False,"['Cars', 'Toyota', 'Camry']",1710144688,https://dubizzle.com/s/DOBE7zr,nan,False,Dubai,True,8addab3bcb634f8bbd8cf376944a9cee,Al Warqaa 1,15860335,True,"['Motors', 'Cars', 'Toyota', 'Camry']",False,1710238903,0,False,item:4:2:1586:15860335,XLI,1999,250000,GCC Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,2000 - 2499 cc,"['Power Windows', 'AM/FM Radio', 'Cassette Player', 'Power Mirrors', 'Premium Paint']",Unknown,4,Yes,Silver,nan,7000,Left Hand,Toyota,Camry,nan,Owner,1710469125,"['Front Wheel Drive', 'Power Steering']",Beige,25,6250000,10000.0,11890.395,0.5887105
Selling My Car,False,"['UAE', 'Dubai', 'Dubai Silicon Oasis (DSO)']",1813,True,0,False,False,False,"['Cars', 'Toyota', 'Prius']",1708433621,https://dubizzle.com/s/DOBE2MB,nan,False,Dubai,True,4b28e2a0e5b94187aac1389cf315eb1c,Dubai Silicon Oasis (DSO),15838025,True,"['Motors', 'Cars', 'Toyota', 'Prius']",False,1710420979,0,False,item:4:2:1813:15838025,Iconic,2018,52743,Japanese Specs,4 door,Sedan,Petrol,4 Seater,Automatic Transmission,1500 - 1999 cc,"['Keyless Entry', 'Keyless Start', 'Air Conditioning', 'Climate Control', 'AM/FM Radio', 'Aux Audio In', 'Premium Sound System', 'DVD Player', 'Bluetooth System', 'Parking Sensors', 'Rear View Camera']",200 - 299 HP,4,No,Blue,nan,40500,Left Hand,Toyota,Prius,nan,Owner,1710475721,"['Anti-Lock Brakes/ABS', 'Cruise Control']",Black,6,316458,8790.5,69155.91,0.5856333
